code,id,name,enc_name,prov,country,geomatry,name1900,name1930,name1945,pop1900,prov1900,prov1930,country1910,country1930,country1945,code_prov,code_dist,abbr_name,abbr_prov,abbr_dist,abbr_country,alt_names,pinkas_ref,enc_page,n,dist1930,dist
KHR_AKH_OKHT,-1034035,Okhtyrka,AKHTYRKA,Kharkov,Ukraine,50.316666666667|34.9,Akhtyrka,Akhtyrka,Akhtyrka,"168 (in 1897), 277 (in 1939)",Kharkov,Ukraine SSR,Russian Empire,Soviet Union,Soviet Union,46,2,OKHT,KHR,AKH,UKR,Achtyrka|Okhtyrka|Akhtyrka|Akhtirka,,25,1,Sumy,Akhtyrka
VLH_RVN_OLKS,-1034078,Oleksandriya,ALEKSANDRIA,Volhinia,Ukraine,50.733333333333|26.35,Aleksandriya,Aleksandria,Aleksandriya,"2,154 (in 1897), 1,293 (in 1921)",Volhynia,Wołyń,Russian Empire,Poland,Soviet Union,8,11,OLKS,VLH,RVN,UKR,Aleksandrija|Aleksandriya|Aleksandri|Aleksandria [Pol|Aleksandrya|Leksandrye|Oleksandriya|Olexandrija|Yid]|Aleksandriia,,27,1,Równe,Rovno
MRM_MRM_OLKS,-1034137,Oleksandrivka,SANDROVO,Maramaros,Ukraine,48.133333333333|23.5,Ósándorfalva,Sandrovo,Aleksandrovka,"183 (in 1880), 358 (in 1921)",Máramaros,Subcarpathia,,Czechoslovakia,Soviet Union,,,OLKS,MRM,MRM,UKR,Olexandriwka|Olekszandvika|Šandrova|Sándorfalva|Oleksandrivka|Sandrif|Sandrovo|Ósándorfalva|Alekszandrovka|Shandorova|Aleksandrovka,,1132,1,,Máramaros
CHR_KRL_ALTY,-1034270,Altynivka,ALTINOVKA,Chernigov,Ukraine,51.45|33.183333333333,Altynovka,Altinovka,Altynovka,450 (in 1897),Chernigov,Ukraine SSR,Russian Empire,Soviet Union,Soviet Union,48,7,ALTY,CHR,KRL,UKR,Altynivka|Altynovka|Altinovka,,34,1,Sumy,Krolevets
DNV_TGN_AMVR,-1034281,Amvrosiyivka,DONETSKO-AMVROSIEVKA,Don,Ukraine,47.8|38.483333333333,Donetsko-Amvrosievka,Donetsko-Amvrosievka,Amvrosievka,128 (in 1939),Don Voyska,Ukraine SSR,Russian Empire,Soviet Union,Soviet Union,12,7,AMVR,DNV,TGN,UKR,Donetsko Amerskevka|Donetsko-Amvrosiyevka|Amvrosiyevka|Donezko-Amwrossijewka|Amvrosiyivka,,323,1,Stalino,Taganrog
KHR_ANN_ANNY,-1034285,Ananyiv,ANANEV,Kherson,Ukraine,47.716666666667|29.966666666667,Ananyev,Ananyev,Ananyev,"3,527 (in 1897), 3,516 (in 1921)",Kherson,Moldavian ASSR,Russian Empire,Soviet Union,Soviet Union,47,3,ANNY,KHR,ANN,UKR,Anan'yev|Ananev|Ananjew|Ananiew|Ananiv|Anan'yiv|Ananiev,,42,1,,Anan'ev
VLH_ZHT_ANDR,-1034396,Andrushivka,ANDRUSHEVKA,Volhinia,Ukraine,50.016666666667|29.016666666667,Andrushevka,Andrushevka,Andrushevka,430 (in 1897). 658 (in 1939),Volhynia,Ukraine SSR,Russian Empire,Soviet Union,Soviet Union,8,1,ANDR,VLH,ZHT,UKR,Andrushevka|Andruszówka|Andrushovka|Andrushivka|Andrishifke|Andruschowka,,44,1,Zhitomir,Zhitomir
VLH_OST_ANNP,-1034425,Annopol,ANNOPOL,Volhinia,Ukraine,50.45|26.9,Annopol',Annopol',Annopol',"1,812 (in 1897), 1,970 (in 1921)",Volhynia,Ukraine SSR,Russian Empire,Soviet Union,Soviet Union,8,10,ANNP,VLH,OST,UKR,Annopol'|Anapoli|Hannopil'|Annopol|Anapol,,46,1,Kamenets-Podolski,Ostrog
VLH_ZSL_ANTN,-1034469,Antoniny,ANTONINY,Volhinia,Ukraine,49.8|26.866666666667,Antoniny,Antoniny,Antoniny,110 (in 1939),Volhynia,Ukraine SSR,Russian Empire,Soviet Union,Soviet Union,8,4,ANTN,VLH,ZSL,UKR,Antoniny [Ukr|Rus]|Antonin,,47,1,Kamenets-Podolski,Zaslavl'
VLH_RVN_ANTN,-1034509,Antonivka,ANTONOWKA,Volhinia,Ukraine,50.8|26.5,Antonovka,Antonówka,Antonovka,"620 (in 1897), 482 (in 1921)",Volhynia,Wołyń,Russian Empire,Poland,Soviet Union,8,11,ANTN,VLH,RVN,UKR,Antonovka [Rus|Yid]|Antonivka|Antonówka|Antonuvka,"Poland, Vol. 5 (1990), pp. 45-46: """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Antonówka"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""".",48,1,Równe,Rovno
KHR_KHR_APST,-1034540,Apostolove,APOSTOLOVO,Kherson,Ukraine,47.666666666667|33.733333333333,Pokrovs'ke,Apostolovo,Apostolovo,81 (in 1939),Kherson,Ukraine SSR,Russian Empire,Soviet Union,Soviet Union,47,1,APST,KHR,KHR,UKR,Apostolove|before 1923]|Apostolowo|Pokrovs'ke [Rus|Apostolovo,,52,1,Dnepropetrovsk,Kherson
TRD_PRK_ARMY,-1034582,Armyans'k,ARMYIANSK,Taurida,Ukraine,46.1|33.7,Armyanskiy Bazar,Armiansk,Armyansk,156 (in 1926),Taurida,Ukraine SSR,Russian Empire,Soviet Union,Soviet Union,41,6,ARMY,TRD,PRK,UKR,Armjans'k|Armiansk-Bazar|Armyansk|Armyans’k|Armyiansk|until 1921]|Armiansk|Armyanskiy Bazar [Rus|Ermeni Bazar,,55,1,Crimea,Perekop
GLC_ZLK_ARTS,-1034594,Artasiv,,Galicia,Ukraine,50.016666666667|24.133333333333,Artasów,Artasów,Artasuv,,Galicia,Lwów,,Poland,Soviet Union,62,46,ARTS,GLC,ZLK,UKR,Artasów|Artasiv|Artasov|Artasuv,,,1,Żółkiew,Żółkiew
